29	62	34
29	62	57
56	31	24
60	31	66
43	29	42
43	31	52
47	63	37
47	64	54
47	80	43
48	79	49
58	51	42
57	55	48
51	44	44
50	42	49
54	21	43
52	23	51
45	69	20
42	69	71
32	81	25
32	83	69
46	76	23
41	78	72
33	93	43
33	93	49
60	72	29
34	91	27
33	90	64
51	84	62
61	80	37
63	78	42
63	78	49
34	95	34
34	96	55
69	65	57
42	49	28
42	51	65
39	44	36
37	44	59
46	53	28
43	57	64
35	32	38
35	36	54
53	25	29
52	26	62
49	18	35
52	20	56
28	69	41
29	71	48
36	65	38
37	64	55
71	49	41
74	49	48
59	41	22
61	43	71
70	38	33
64	30	56
73	47	34
75	43	53
72	55	34
74	52	54
60	35	42
60	37	49
42	65	33
42	65	58
46	54	24
44	57	70
73	61	42
67	65	49
52	47	15
54	44	74
43	33	20
43	32	71
26	72	22
32	67	75
45	46	16
34	60	75
39	53	39
39	53	52
