14	17	37
23	34	10
35	38	15
8	16	13
27	3	4
37	23	21
8	30	34
12	13	37
20	20	29
36	9	16
21	38	12
12	20	28
22	22	36
23	9	37
17	4	4
1	3	20
29	33	6
21	31	11
16	8	36
3	36	8
15	28	5
10	27	22
9	40	13
33	2	16
16	17	32
3	20	34
16	24	28
31	4	17
7	27	26
37	3	9
13	23	25
14	29	28
9	20	25
31	25	14
3	9	15
39	26	7
7	16	32
12	5	20
28	16	15
6	11	32
21	10	10
29	25	34
38	21	33
30	17	34
30	9	15
17	35	16
10	35	35
21	12	19
9	25	23
34	32	28
27	39	39
33	37	22
32	16	26
19	7	23
13	32	38
28	5	35
40	7	7
31	15	8
34	34	10
29	24	31
24	24	8
31	38	40
20	24	29
35	1	8
3	33	35
39	25	37
4	20	39
22	11	23
17	11	23
5	20	8
29	10	21
25	2	22
32	7	7
23	11	20
33	8	22
24	25	8
38	33	25
35	33	2
21	33	13
32	29	22
19	35	14
34	32	25
13	9	15
40	40	6
12	4	37
3	27	26
31	9	27
34	10	28
37	14	30
14	8	34
33	21	21
22	39	7
19	16	16
33	24	33
39	25	7
4	29	14
29	17	39
10	35	33
16	37	9
11	31	40
34	12	3
40	32	18
26	6	17
29	21	17
38	25	5
28	29	17
23	16	25
16	30	40
26	36	9
15	3	15
17	6	11
15	35	12
19	17	8
21	17	1
37	39	18
9	31	10
14	40	35
23	10	22
20	4	37
11	16	39
24	21	24
36	23	5
3	40	38
18	20	24
4	17	36
23	40	17
22	11	25
31	27	3
10	39	37
24	27	26
19	12	5
35	22	29
27	1	16
15	36	4
14	17	9
11	13	10
39	39	10
12	19	29
7	12	31
15	4	22
30	24	23
29	7	26
29	3	40
1	24	26
15	12	25
37	15	37
13	29	23
24	35	14
12	14	39
6	39	18
16	39	25
33	9	29
40	31	28
35	25	9
4	37	4
14	25	11
10	29	35
13	30	23
40	16	19
22	11	18
30	2	31
34	19	27
7	26	27
37	12	7
5	21	18
30	10	21
30	12	16
29	27	20
6	36	14
18	35	32
21	9	16
22	16	29
35	36	20
28	11	30
33	39	38
22	25	21
39	7	37
3	34	9
22	27	35
12	22	4
20	11	19
28	2	1
9	10	33
25	15	8
14	26	7
36	40	8
6	9	28
5	31	9
39	36	12
7	19	31
7	7	21
7	33	37
4	20	3
19	5	18
27	36	23
34	26	23
32	4	33
29	37	6
19	2	13
29	2	1
39	40	39
21	28	31
13	16	31
32	21	6
10	31	14
10	2	7
19	30	20
25	29	33
25	19	26
5	24	28
5	14	26
12	7	30
30	16	35
