-24,-2,-22
26,0,-22
24,-8,-18
-23,-2,-20
14,16,4
-19,13,-8
9,9,3
4,-4,-16
-3,6,-18
1,27,0
12,42,-4
8,50,-4
-6,42,-12
-2,2,-4
43,2,3
-40,-4,16
-33,3,12
39,-18,18
0,32,-12
0,50,-8
2,51,0
-12,60,15
18,51,-3
15,45,-6
-59,-56,31
64,-51,24
-65,-45,28
50,-46,24
-50,-58,8
50,-58,8
63,-54,10
66,-48,24
-10,-20,4
16,-16,0
14,16,4
-19,13,-8
9,9,3
-18,8,-12
1,27,0
12,42,-4
8,50,-4
-6,42,-12
-2,2,-4
-40,4,-44
38,-10,-40
-38,34,-18
38,34,-18
0,50,-8
2,51,0
-12,60,15
18,51,-3
15,45,-6
0,50,24
0,32,-12
-39,42,-6
-59,-56,31
64,-51,24
-65,-45,28
50,-46,24
63,-54,10
-50,-4,-20
-50,-58,8
50,-58,8
