-6	-12	27
-39	0	46
-5	87	19
-25	14	-30
-35	51	-18
-40	76	32
-49	38	-23
-8	55	21
-29	96	2
-23	-23	-15
-15	75	-2
-7	-31	-14
-57	34	-10
-25	39	-17
-7	37	58
-48	-8	13
-41	-31	-10
-44	-20	4
-12	88	8
-43	31	42
-7	27	40
-38	16	45
-9	65	37
-6	-28	6
-31	-37	16
-9	-21	42
-21	72	48
-54	19	-4
-52	47	31
-9	-54	-7
-32	-5	-31
-44	30	9
-38	10	2
-12	28	8
-16	-1	10
-27	9	1
-21	14	0
-26	32	-12
-24	15	-17
-11	-3	-6
4	-12	28
38	-3	46
5	86	21
22	12	-30
33	49	-18
43	72	32
48	36	-24
7	54	21
31	94	2
21	-23	-15
12	74	-2
6	-30	-13
56	32	-15
24	37	-17
7	35	57
45	-8	12
39	-32	-10
44	-20	5
12	86	8
41	28	42
4	26	40
39	19	43
9	64	37
5	-28	7
30	-39	15
7	-21	42
21	72	49
53	18	-5
51	40	32
8	-54	-8
31	-5	-31
43	28	9
36	8	0
11	27	8
15	-1	11
25	7	0
21	13	1
26	30	-12
23	13	-18
9	-2	-6
